track pitch start end duration velocity
0 F#6 26.0052 26.0677 0.0625 15
0 D5 26.0052 26.0990 0.0938 44
0 A#5 26.0156 26.0521 0.0365 35
0 E6 26.0260 26.1406 0.1146 27
0 E5 26.0260 26.1406 0.1146 25
0 A5 26.0365 26.1146 0.0781 45
0 G6 26.0521 26.1146 0.0625 17
0 C6 26.0521 26.1667 0.1146 19
0 D#6 26.0677 26.1510 0.0833 39
0 C#6 26.0990 26.1875 0.0885 23
0 A#5 26.1146 26.1875 0.0729 45
0 G6 26.1250 26.1667 0.0417 23
0 A4 26.1250 26.1771 0.0521 19
0 D5 26.1406 26.1771 0.0365 33
0 F#6 26.1406 26.1771 0.0365 24
0 D6 26.1510 26.2656 0.1146 35
0 E6 26.1667 26.1979 0.0312 25
0 D#5 26.1667 26.2083 0.0417 31
0 A5 26.1771 26.2656 0.0885 46
0 D#6 26.1771 26.4531 0.2760 37
0 D5 26.1875 26.2500 0.0625 28
0 E5 26.2083 26.2500 0.0417 35
0 C#6 26.2083 26.2500 0.0417 36
0 F6 26.2083 26.2812 0.0729 27
0 C6 26.2396 26.3333 0.0938 39
0 C#5 26.2500 26.2917 0.0417 25
0 D#5 26.2500 26.3333 0.0833 40
0 G#5 26.2500 26.4427 0.1927 48
0 G#4 26.2656 26.3073 0.0417 16
0 C#6 26.2656 26.3542 0.0885 45
0 C#4 26.2812 26.3542 0.0729 19
0 F6 26.3073 26.4167 0.1094 15
0 C#5 26.3177 26.3542 0.0365 19
0 B5 26.3333 26.4688 0.1354 38
0 D6 26.3438 26.4010 0.0573 27
0 F#5 26.3542 26.4062 0.0521 16
0 D5 26.3646 26.4167 0.0521 21
0 A#5 26.3958 26.4323 0.0365 33
0 C#6 26.3958 26.4427 0.0469 33
0 F5 26.4062 26.4427 0.0365 28
0 C#5 26.4167 26.4531 0.0365 22
0 A5 26.4323 26.4531 0.0208 33
0 F#5 26.4427 26.4844 0.0417 25
0 F5 26.4531 26.4948 0.0417 17
0 A#5 26.4531 26.4948 0.0417 15
0 G#5 26.4688 26.5156 0.0469 15
0 C#6 26.5156 26.5938 0.0781 33
0 C#5 26.5312 26.5938 0.0625 44
0 G#5 26.5312 26.5938 0.0625 22
0 B6 26.5677 26.6146 0.0469 12
0 A4 26.5677 26.6667 0.0990 42
0 D5 26.5938 26.7031 0.1094 39
0 A3 26.6042 26.6771 0.0729 20
0 A#5 26.6146 26.7188 0.1042 38
0 D4 26.6562 26.7031 0.0469 40
0 A5 26.6927 26.7812 0.0885 32
0 A4 26.6927 26.8125 0.1198 29
0 D#4 26.7031 26.7292 0.0260 50
0 D5 26.7188 26.7917 0.0729 35
0 D4 26.7292 26.9062 0.1771 46
0 A3 26.7396 26.7812 0.0417 15
0 A#5 26.7812 26.8594 0.0781 20
0 A3 26.8125 26.8438 0.0312 18
0 A4 26.8333 26.8698 0.0365 26
0 D#5 26.8854 26.9219 0.0365 16
0 A3 26.8854 26.9531 0.0677 25
0 C#4 26.9323 26.9740 0.0417 17
0 D5 26.9323 26.9844 0.0521 19
0 G6 27.0208 27.0573 0.0365 30
0 A#6 27.0312 27.1198 0.0885 18
0 E5 27.0312 27.2240 0.1927 59
0 A6 27.0312 27.2448 0.2135 39
0 G#6 27.0417 27.1094 0.0677 31
0 A3 27.0417 27.1354 0.0938 22
0 B6 27.0573 27.2656 0.2083 26
0 C5 27.1094 27.1823 0.0729 24
0 D#7 27.1198 27.2448 0.1250 12
0 G6 27.1354 27.1719 0.0365 11
0 A4 27.1354 27.1823 0.0469 13
0 A#6 27.1510 27.4115 0.2604 29
0 C#7 27.1615 27.1979 0.0365 17
0 F4 27.1719 27.2031 0.0312 20
0 C5 27.1875 27.2344 0.0469 35
0 A4 27.1979 27.2344 0.0365 25
0 F7 27.1979 27.3021 0.1042 14
0 D#5 27.2031 27.2344 0.0312 44
0 A3 27.2240 27.2656 0.0417 21
0 E5 27.2344 27.3125 0.0781 40
0 G#6 27.2448 27.3125 0.0677 10
0 A6 27.2656 27.3490 0.0833 21
0 B6 27.2812 27.3229 0.0417 19
0 D5 27.2812 27.3594 0.0781 60
0 C7 27.3125 27.4115 0.0990 18
0 A4 27.3229 27.3698 0.0469 16
0 D#5 27.3490 27.3906 0.0417 43
0 D5 27.3698 27.4323 0.0625 41
0 C#7 27.3698 27.5521 0.1823 25
0 E7 27.3906 27.4219 0.0312 14
0 B6 27.4010 27.5104 0.1094 26
0 F#7 27.4115 27.4479 0.0365 16
0 D7 27.4219 27.5521 0.1302 18
0 C#5 27.4323 27.4583 0.0260 40
0 D#4 27.4323 27.4844 0.0521 20
0 C7 27.4323 27.5729 0.1406 18
0 G#4 27.4479 27.4740 0.0260 32
0 D#7 27.4479 27.4844 0.0365 17
0 D5 27.4583 27.5625 0.1042 44
0 A4 27.4740 27.5000 0.0260 32
0 E5 27.4844 27.5521 0.0677 28
0 A#4 27.5000 27.5833 0.0833 39
0 A#3 27.5208 27.5833 0.0625 15
0 D4 27.5312 27.6458 0.1146 30
0 D#5 27.5625 27.5833 0.0208 32
0 B6 27.5625 27.6094 0.0469 21
0 G7 27.5833 27.6198 0.0365 10
0 D#7 27.5833 27.6458 0.0625 19
0 F7 27.5833 27.6719 0.0885 20
0 A4 27.5990 27.6354 0.0365 28
0 D7 27.5990 27.6823 0.0833 11
0 C#5 27.6094 27.6823 0.0729 37
0 C#7 27.6094 27.7083 0.0990 25
0 E7 27.6458 27.6823 0.0365 15
0 A4 27.6458 27.6927 0.0469 44
0 D5 27.6719 27.7083 0.0365 15
0 C7 27.6823 27.7604 0.0781 18
0 A3 27.7083 27.7344 0.0260 37
0 A#4 27.7240 27.7604 0.0365 29
0 C#7 27.7240 27.7708 0.0469 28
0 D7 27.7448 27.8646 0.1198 22
0 A4 27.7604 27.7812 0.0208 33
0 G#3 27.7812 27.8333 0.0521 11
0 C#4 27.7917 27.8646 0.0729 31
0 G4 27.8177 27.8542 0.0365 11
0 A#4 27.8646 27.9062 0.0417 12
0 A4 27.8958 27.9323 0.0365 19
0 G4 29.9792 30.0052 0.0260 30
0 F#6 29.9896 30.1146 0.1250 51
0 G5 29.9896 30.1667 0.1771 48
0 F#4 30.0052 30.0260 0.0208 34
0 A#5 30.0052 30.0260 0.0208 55
0 D#6 30.0052 30.0365 0.0312 19
0 E5 30.0052 30.1875 0.1823 43
0 B5 30.0260 30.2500 0.2240 52
0 C6 30.0365 30.0781 0.0417 42
0 D6 30.0365 30.1146 0.0781 21
0 E4 30.0365 30.1510 0.1146 19
0 E6 30.0365 30.2292 0.1927 47
0 C#6 30.0781 30.1146 0.0365 18
0 F6 30.1146 30.1875 0.0729 21
0 D6 30.1406 30.2917 0.1510 36
0 G5 30.1771 30.2500 0.0729 40
0 D#5 30.1875 30.2760 0.0885 36
0 C#6 30.1979 30.2292 0.0312 31
0 D#6 30.2292 30.2760 0.0469 46
0 C6 30.2292 30.3958 0.1667 42
0 A#5 30.2396 30.3073 0.0677 39
0 E6 30.2396 30.3281 0.0885 29
0 F6 30.2500 30.3229 0.0729 30
0 F#5 30.2500 30.3698 0.1198 39
0 D#6 30.2865 30.3385 0.0521 37
0 A5 30.2865 30.3490 0.0625 39
0 C#6 30.2917 30.3281 0.0365 30
0 D5 30.2917 30.3490 0.0573 37
0 D4 30.3073 30.3385 0.0312 22
0 F6 30.3385 30.4062 0.0677 36
0 G#5 30.3490 30.3958 0.0469 42
0 B5 30.3490 30.3958 0.0469 33
0 C#6 30.3490 30.4167 0.0677 26
0 E6 30.3490 30.4792 0.1302 30
0 E5 30.3854 30.4271 0.0417 29
0 G5 30.3958 30.4375 0.0417 25
0 A#5 30.3958 30.4375 0.0417 19
0 C4 30.4062 30.4375 0.0312 17
0 C6 30.4062 30.4896 0.0833 25
0 D5 30.4167 30.4479 0.0312 22
0 D#6 30.4167 30.4479 0.0312 31
0 F6 30.4167 30.4479 0.0312 17
0 F#5 30.4167 30.4635 0.0469 20
0 A#4 30.4271 30.4635 0.0365 19
0 D4 30.4375 30.4792 0.0417 22
0 G5 30.5000 30.5521 0.0521 23
0 F5 30.5104 30.5521 0.0417 9
0 D6 30.5260 30.5625 0.0365 19
0 G#5 30.5260 30.5990 0.0729 36
0 C6 30.5260 30.6198 0.0938 53
0 G4 30.5365 30.5990 0.0625 23
0 E5 30.5365 30.7917 0.2552 47
0 F4 30.5625 30.5885 0.0260 33
0 E4 30.5885 30.7135 0.1250 41
0 G5 30.5990 30.7917 0.1927 48
0 G4 30.6094 30.6875 0.0781 41
0 B5 30.6510 30.7448 0.0938 17
0 D#4 30.7135 30.7448 0.0312 42
0 D#6 30.7292 30.7760 0.0469 18
0 G4 30.7292 30.9115 0.1823 44
0 E4 30.7448 30.9115 0.1667 51
0 G#5 30.7917 30.8385 0.0469 39
0 D#4 30.9115 30.9323 0.0208 33
0 B5 31.0208 31.0417 0.0208 51
0 C#5 31.0208 31.0521 0.0312 20
0 A#4 31.0208 31.0521 0.0312 28
0 E6 31.0312 31.0677 0.0365 14
0 G#5 31.0417 31.0781 0.0365 22
0 G6 31.0417 31.0885 0.0469 15
0 C6 31.0417 31.2292 0.1875 52
0 D#5 31.0521 31.0885 0.0365 16
0 B4 31.0521 31.0990 0.0469 27
0 F#6 31.0521 31.1146 0.0625 22
0 F#5 31.0677 31.0990 0.0312 37
0 F7 31.0677 31.1146 0.0469 10
0 D5 31.0677 31.1198 0.0521 41
0 A6 31.0677 31.1198 0.0521 36
0 F5 31.0885 31.1458 0.0573 21
0 C4 31.0990 31.2396 0.1406 24
0 A#6 31.1146 31.1562 0.0417 35
0 G7 31.1146 31.1823 0.0677 15
0 G5 31.1354 31.1562 0.0208 37
0 D#5 31.1458 31.1719 0.0260 45
0 A6 31.1562 31.2292 0.0729 55
0 F#5 31.1562 31.2500 0.0938 43
0 D5 31.1719 31.2031 0.0312 33
0 C5 31.1927 31.2396 0.0469 35
0 A#6 31.2188 31.3802 0.1615 35
0 D5 31.2292 31.2760 0.0469 35
0 E7 31.2656 31.3021 0.0365 19
0 F#5 31.2656 31.3281 0.0625 35
0 A6 31.2656 31.3281 0.0625 38
