track pitch start end duration velocity
0 E4 17.2800 17.5190 0.2390 80
0 G4 17.5200 17.7590 0.2390 80
0 G4 17.7600 18.2390 0.4790 80
0 G4 18.2400 18.7190 0.4790 80
0 G4 18.7200 18.9590 0.2390 80
0 E4 18.9600 19.1990 0.2390 80
0 G4 19.2000 19.4390 0.2390 80
0 A4 19.4400 19.6790 0.2390 80
0 A4 19.6800 19.9190 0.2390 80
0 G4 19.9200 20.3990 0.4790 80
0 A4 20.6400 20.8790 0.2390 80
0 B4 20.8800 21.1190 0.2390 80
0 B4 21.1200 21.3590 0.2390 80
0 A4 21.3600 21.5990 0.2390 80
0 A4 21.6000 21.8390 0.2390 80
0 G4 21.8400 22.0790 0.2390 80
0 A4 22.0800 22.3190 0.2390 80
0 B4 22.3200 22.5590 0.2390 80
0 G4 22.5600 22.7990 0.2390 80
0 E4 22.8000 24.9590 2.1590 80
0 G4 24.9600 25.4390 0.4790 80
0 G4 25.4400 25.9190 0.4790 80
0 G4 25.9200 26.3990 0.4790 80
0 G4 26.4000 26.6390 0.2390 80
0 E4 26.6400 26.8790 0.2390 80
0 G4 26.8800 27.1190 0.2390 80
0 A4 27.1200 27.3590 0.2390 80
0 A4 27.3600 27.5990 0.2390 80
0 G4 27.6000 28.0790 0.4790 80
0 A4 28.3200 28.5590 0.2390 80
0 G4 28.5600 28.7990 0.2390 80
0 A4 28.8000 29.2790 0.4790 80
0 A4 29.2800 29.5190 0.2390 80
0 G4 29.5200 29.7590 0.2390 80
0 A4 29.7600 29.9990 0.2390 80
0 B4 30.0000 30.2390 0.2390 80
0 G4 30.2400 30.4790 0.2390 80
0 E4 30.4800 32.6390 2.1590 80
0 G4 32.6400 33.1190 0.4790 80
0 G4 33.1200 33.5990 0.4790 80
0 E4 33.6000 34.0790 0.4790 80
0 E4 34.0800 34.3190 0.2390 80
0 B4 34.3200 34.5590 0.2390 80
0 A4 34.5600 35.0390 0.4790 80
0 A4 35.0400 35.2790 0.2390 80
0 G4 35.2800 35.9990 0.7190 80
0 A4 36.4800 36.9590 0.4790 90
0 A4 36.9600 37.1990 0.2390 90
0 G4 37.2000 37.4390 0.2390 90
0 A4 37.4400 37.6790 0.2390 90
0 A4 37.6800 37.9190 0.2390 90
0 G4 37.9200 38.1590 0.2390 90
0 A4 38.1600 38.2790 0.1190 90
0 B4 38.2800 39.3590 1.0790 80
